"stockcode","description","units_sold","revenue"
"21589","SWALLOW GIANT TUBE MATCHES",1119,2583.45
"21590","KINGS CHOICE CIGAR BOX MATCHES ",3448,4141.28
"21591","COSY HOUR CIGAR BOX MATCHES ",3978,6003.08
"21592","RETRO SPOT  CIGAR BOX MATCHES ",3104,3652.00
"21592","RETROSPOT CIGAR BOX MATCHES ",2772,2900.46
"21593","SWALLOW CIGAR BOX MATCHES ",1391,1629.31
"21594","Dr. Jam's Arouzer Stress Ball",5,21.06
"21595","Dad's Cab Electronic Meter",9,76.95
"21596","Hypochondriac Pill Stress Ball",10,42.64
"21609","SET 12 LAVENDER  BOTANICAL T-LIGHTS",1499,4186.29
"21610","SET 12 PEAR BOTANICAL T-LIGHTS",542,1543.67
"21611","SET OF 12 LILY BOTANICAL T-LIGHTS",750,2182.19
"21612","SET 12 WILDFLOWER BOTANICAL T-LIGHT",698,2025.77
"21613","S/12 VANILLA  BOTANICAL T-LIGHTS",632,1861.45
"21614","SET OF 12 ROSE BOTANICAL T-LIGHTS",1627,4538.17
"21615","4 LAVENDER BOTANICAL DINNER CANDLES",1168,2308.67
"21616","4 PEAR BOTANICAL DINNER CANDLES",1152,2458.58
"21617","4 LILY  BOTANICAL DINNER CANDLES",834,2135.01
"21618","4 WILDFLOWER BOTANICAL CANDLES",698,1823.74
"21619","4 VANILLA BOTANICAL CANDLES",1131,2069.02
"21620","S/4 ROSE    BOTANICAL  CANDLE",127,477.12
"21620","SET OF 4 ROSE BOTANICAL CANDLES",960,1729.61
"21621","VINTAGE UNION JACK BUNTING",6900,60286.04
"21622","VINTAGE UNION JACK CUSHION COVER",3699,19936.94
"21623","VINTAGE UNION JACK MEMOBOARD",6165,45402.18
"21624","VINTAGE UNION JACK DOORSTOP",1771,10641.15
"21625","VINTAGE UNION JACK APRON",984,7037.62
"21626","VINTAGE UNION JACK PENNANT",1496,3017.07
"21627","ELEPHANT CARNIVAL POUFFE",195,3766.35
"21628","TRIANGULAR POUFFE VINTAGE ",164,3185.28
"21629","SQUARE FLOOR CUSHION VINTAGE PINK ",19,270.47
"21629","SQUARE FLOOR CUSHION VINTAGE RED",158,1690.90
"21630","FLOOR CUSHION ELEPHANT CARNIVAL",162,1973.39
"21631","HIPPY CHIC DECORATIVE PARASOL",221,1571.75
"21632","VINTAGE PINK DECORATIVE PARASOL",132,1076.22
"21633","SUNFLOWER DECORATIVE PARASOL",175,1663.11
"21634","ASSORTED MINI MADRAS NOTEBOOK",1771,1507.74
"21635","MADRAS NOTEBOOK LARGE ",398,855.24
"21636","MADRAS NOTEBOOK MEDIUM",1014,985.74
"21637","ASSORTED SANSKRIT MINI NOTEBOOK",1358,1741.72
"21638","ASSORTED TUTTI FRUTTI NOTEBOOK",1020,2220.94
"21639","ASSORTED TUTTI FRUTTI KEYRING",259,228.65
"21640","ASSORTED TUTTI FRUTTI  FOB NOTEBOOK",2225,2049.40
"21641","ASSORTED TUTTI FRUTTI KEYRING BALL",1666,946.31
"21642","ASSORTED TUTTI FRUTTI PEN",4413,2575.18
"21643","ASSORTED TUTTI FRUTTI MIRROR",1521,2127.94
"21644","ASSORTED TUTTI FRUTTI HEART BOX",1087,1461.47
"21645","ASSORTED TUTTI FRUTTI ROUND BOX",969,1642.65
"21647","ASSORTED TUTTI FRUTTI LARGE PURSE",848,1899.28
"21648","ASSORTED TUTTI FRUTTI SMALL PURSE",2940,3956.48
"21649","ASSORTED TUTTI FRUTTI PHOTO FRAME",421,1162.89
"21650","ASSORTED TUTTI FRUTTI BRACELET",3204,1163.80
"21651","HANGING GLASS ETCHED TEALIGHT",1361,2200.36
"21652","GLASS ETCHED T-LIGHT HOLDER MEDIUM",896,1747.94
"21653","GLASS ETCHED T-LIGHT HOLDER LARGE",1246,2565.67
"21654","RIDGED GLASS FINGER BOWL",1183,820.21
"21655","HANGING RIDGE GLASS T-LIGHT HOLDER",1396,2277.50
"21656","RIDGED GLASS POSY VASE ",985,1614.54
"21657","MILK BOTTLE WITH GLASS STOPPER ",257,1967.38
"21658","GLASS  BEURRE DISH",2225,9271.89
"21659","GLASS CAKE STAND",120,1891.70
"21661","VINTAGE GLASS TEA CADDY",239,1511.31
"21662","VINTAGE GLASS COFFEE CADDY",269,1735.05
"21663","VINTAGE GLASS SUGAR CADDY",76,488.16
"21664","RIDGED GLASS STORAGE JAR CREAM LID",258,1031.07
"21665","TRIANGULAR RIDGED GLASS POSY HOLDER",879,638.80
"21666"," RIDGED GLASS T-LIGHT HOLDER",952,552.12
"21666","RIDGED GLASS T-LIGHT HOLDER",808,553.03
"21667","GLASS CAKE COVER AND PLATE",354,6126.25
"21668","RED STRIPE CERAMIC DRAWER KNOB",10357,13912.17
"21669","BLUE STRIPE CERAMIC DRAWER KNOB",10578,13839.18
"21670","BLUE SPOT CERAMIC DRAWER KNOB",8845,12074.40
"21671","RED SPOT CERAMIC DRAWER KNOB",9488,12339.32
"21672","WHITE SPOT RED CERAMIC DRAWER KNOB",11120,14411.13
"21673","WHITE SPOT BLUE CERAMIC DRAWER KNOB",10050,13272.39
"21674","RIDGED GLASS PENDANT LAMPSHADE",43,680.85
"21675","BUTTERFLIES STICKERS",1782,1576.84
"21676","FLOWERS  STICKERS",1193,893.72
"21677","HEARTS  STICKERS",2125,1859.38
"21678","PAISLEY PATTERN  STICKERS",572,423.00
"21679","SKULLS  STICKERS",4871,4034.51
"21680","WOODLAND  STICKERS",2858,2483.68
"21681","GIANT MEDINA STAMPED METAL BOWL ",233,2234.81
"21682","LARGE MEDINA STAMPED METAL BOWL ",559,2767.59
"21683","MEDIUM MEDINA STAMPED METAL BOWL ",936,2757.47
"21684","SMALL MEDINA STAMPED METAL BOWL ",1696,1357.61
"21685","MEDINA STAMPED METAL TRAY ",3,44.85
"21686","MEDINA STAMPED METAL STOOL",65,2460.14
"21687","SILVER PLATE CANDLE BOWL LARGE",477,1871.23
"21688","SILVER PLATE CANDLE BOWL SMALL",912,2845.65
"21689","SILVER VANILLA  FLOWER CANDLE POT",342,1268.12
"21690","SILVER  CANDLEPOT JARDIN ",258,990.84
"21691","SILVER VANILLA FLOWER CANDLE POT",249,960.99
"21692","SILVER LATTICE VANILLA CANDLE POT",502,1906.62
"21693","SMALL HAMMERED SILVER CANDLEPOT ",871,2648.62
"21694","SMALL REGAL  SILVER CANDLEPOT ",556,1593.16
"21695","SMALL SILVER FLOWER CANDLE POT",630,1952.18
"21696","SMALL SILVER TRELLIS CANDLEPOT",749,2251.14
"21697","SET 5 MINI DOUGHNUT FRIDGE MAGNET ",372,295.08
"21698","MOCK LOBSTER FRIDGE MAGNET",530,399.01
"21699","SET 5 MINI CHOCOLATE FRIDGE MAGNETS",108,82.44
"21700","BIG DOUGHNUT FRIDGE MAGNETS",6335,7028.51
"21702","SET 5 MINI GATEAUX  FRIDGE MAGNETS",2636,918.68
"21703","BAG 125g SWIRLY MARBLES",14577,5646.47
"21704","BAG 250g SWIRLY MARBLES",17175,13235.16
"21705","BAG 500g SWIRLY MARBLES",2534,3145.71
"21706","FOLDING UMBRELLA , RED/WHITE SPOT",916,2962.82
"21706","FOLDING UMBRELLA RED/WHITE POLKADOT",432,2063.39
"21707","FOLDING UMBRELLA , BLACK/BLUE  SPOT",775,3077.01
"21707","FOLDING UMBRELLA BLACKBLUE POLKADOT",230,1107.94
"21708","FOLDING UMBRELLA  CREAM/MULTI  SPOT",379,1260.25
"21708","FOLDING UMBRELLA CREAM POLKADOT",232,1076.23
"21709","FOLDING UMBRELLA  CHOC/WHITE  SPOT",533,2115.77
"21709","FOLDING UMBRELLA CHOCOLATE POLKADOT",163,760.95
"21710","FOLDING UMBRELLA  PINK/WHITE  SPOT",584,1549.34
"21710","FOLDING UMBRELLA PINKWHITE POLKADOT",142,685.67
"21711","FOLDING UMBRELLA  WHITE/RED  SPOT",262,953.00
"21711","FOLDING UMBRELLA WHITE/RED POLKADOT",120,602.66
"21713","CITRONELLA CANDLE FLOWERPOT",2733,5145.44
"21714","CITRONELLA CANDLE GARDEN POT",4283,6182.39
"21715","GIRLS VINTAGE TIN SEASIDE BUCKET",3553,8987.24
"21716","BOYS VINTAGE TIN SEASIDE BUCKET",3709,9397.07
"21717","EASTER TIN BUCKET",1554,4039.63
"21718","RED METAL BEACH SPADE ",4030,5250.30
"21719","LOVELY BONBON STICKER SHEET",906,813.14
"21720","CAKE SHOP  STICKER SHEET",1068,929.81
"21721","CANDY SHOP  STICKER SHEET",1090,990.50
"21722","SWEET PUDDING STICKER SHEET",347,327.75
"21723","ALPHABET HEARTS STICKER SHEET",866,769.13
"21724","PANDA AND BUNNIES STICKER SHEET",996,888.34
"21725","SWEETIES  STICKERS",1135,1036.43
"21726","MULTI HEARTS  STICKERS",1077,930.99
"21728","METAL MEDINA LANTERN ",298,2773.11
"21729","SMALL MARAKESH METAL  LANTERN ",124,422.90
"21730","GLASS STAR FROSTED T-LIGHT HOLDER",1115,5534.17
"21731","RED TOADSTOOL LED NIGHT LIGHT",28910,48315.84
"21732","RED HANGING METAL STAR TLIGHT HLDR",925,3214.57
"21733","RED HANGING HEART T-LIGHT HOLDER",17575,50346.49
"21734","SMALL MARAKESH LANTERN ON STICK",97,529.49
"21735","TWO DOOR CURIO CABINET",853,11112.85
"21736","GOLD SCROLL GLASS T-LIGHT HOLDER",193,393.69
"21737","SET 3 WICKER LOG BASKETS",398,7362.66
"21738","COSY SLIPPER SHOES SMALL  RED ",422,1322.63
"21739","COSY SLIPPER SHOES SMALL GREEN",494,1451.85
"21740","COSY SLIPPER SHOES LARGE RED",201,698.01
"21741","COSY SLIPPER SHOES LARGE GREEN",701,2293.75
"21742","LARGE ROUND WICKER PLATTER ",437,2647.28
"21743","STAR PORTABLE TABLE LIGHT ",1288,3767.08
"21744","SNOWFLAKE PORTABLE TABLE LIGHT ",898,2697.16
"21745","GAOLERS KEYS DECORATIVE GARDEN ",2699,9201.49
"21746","SMALL RED RETROSPOT WINDMILL",5113,6351.90
"21746","SMALL RED SPOT  WINDMILL",852,1116.44
"21747","SMALL SKULL WINDMILL",2049,2452.35
"21749","LARGE RED RETROSPOT WINDMILL",2712,5426.06
"21749","LARGE RED SPOT WINDMILL",2945,5554.92
"21750"," LARGE SKULL WINDMILL",8,16.80
"21750","LARGE SKULL WINDMILL",301,647.05
"21752","GLASS CAKE STAND MIRRORED BASE",77,1244.81
"21754","HOME BUILDING BLOCK WORD",7595,46516.99
"21755","LOVE BUILDING BLOCK WORD",5643,34836.02
"21756","BATH BUILDING BLOCK WORD",1612,9944.65
"21757","LIGHTHOUSE PRINTED METAL SIGN",80,454.30
"21758","VINTAGE SHELLS PRINT",135,1069.76
"21759","METAL WALL SHELF UNIT WITH HOOKS",30,1274.47
"21760","FRENCH STYLE WALL DRESSER",15,1740.00
"21761","WOOD AND GLASS MEDICINE CABINET",65,1814.75
"21763","VINTAGE WOODEN BAR STOOL",43,1157.90
"21764","VINTAGE WOODEN PLATE RACK",17,659.15
"21765","HANGING METAL BIRD BATH",371,3076.39
"21767","FRENCH STYLE WIRE DOOR CABINET ",1,29.95
"21768","WALL MOUNTED VINTAGE ORGANISER",497,6756.09
"21769","VINTAGE POST OFFICE CABINET",123,7954.87
"21770","OPEN CLOSED METAL SIGN",2991,14807.30
"21772","VINTAGE METAL CAKE STAND CREAM ",1,12.75
"21773","DECORATIVE ROSE BATHROOM BOTTLE",1642,1899.40
"21774","DECORATIVE CATS BATHROOM BOTTLE",1711,2129.81
"21775","DECORATIVE FLORE BATHROOM BOTTLE",874,1326.29
"21777","RECIPE BOX WITH METAL HEART",1126,9075.51
"21779","MA CAMPAGNE MINI WOODEN CHEST",301,1097.80
"21780","MA CAMPAGNE 4 DRAWER WALL SHELF",203,1745.85
"21781","MA CAMPAGNE CUTLERY BOX",655,10125.72
"21784","SHOE SHINE BOX ",290,3538.28
"21785","RAIN PONCHO ",2005,1514.63
"21786","POLKADOT RAIN HAT ",3014,1360.83
"21786","RAIN HAT WITH RED SPOTS",4457,1688.20
"21787","RAIN PONCHO RETROSPOT",10408,8333.11
"21787","RAIN PONCHO WITH RED SPOTS",4727,3592.97
"21788","KIDS RAIN MAC BLUE",3375,2725.09
"21789","KIDS RAIN MAC PINK",2920,2437.07
"21790","VINTAGE SNAP CARDS",27244,23506.17
"21791","VINTAGE HEADS AND TAILS CARD GAME ",17604,22858.60
"21792","CLASSIC FRENCH STYLE BASKET GREEN ",494,2517.88
"21793","CLASSIC FRENCH STYLE BASKET BROWN",353,1627.36
"21794","CLASSIC FRENCH STYLE BASKET NATURAL",713,3552.09
"21795","SET OF 3 BLUE STRIPE BASKET",441,3734.94
"21796","SET OF 3 RED STRIPE BASKETS",324,2782.19
"21801","CHRISTMAS TREE DECORATION WITH BELL",3398,1467.66
"21802","CHRISTMAS TREE HEART DECORATION",4377,1917.20
"21803","CHRISTMAS TREE STAR DECORATION",4463,1938.96
"21804","WHITE CHRISTMAS GARLAND STARS TREES",597,2240.99
"21805","WHITE CHRISTMAS TREE DECORATION ",2221,957.63
"21806","WHITE CHRISTMAS HEART DECORATION",2707,1179.43
"21807","WHITE CHRISTMAS STAR DECORATION",3225,1422.45
"21808","CHRISTMAS GARLAND STARS,TREES",1001,2715.53
"21809","CHRISTMAS HANGING TREE WITH BELL",3015,2427.89
"21810","CHRISTMAS HANGING STAR WITH BELL",6959,4374.41
"21811","CHRISTMAS HANGING HEART WITH BELL",1721,2202.38
"21811","HANGING HEART WITH BELL",4619,2374.80
"21812","GARLAND WITH HEARTS AND BELLS",805,3917.49
"21813","GARLAND WITH STARS AND BELLS",815,3761.41
"21814","HEART T-LIGHT HOLDER ",670,1016.53
"21815"," STAR  T-LIGHT HOLDER ",25,42.61
"21815","STAR  T-LIGHT HOLDER ",654,1017.63
"21816","CHRISTMAS TREE T-LIGHT HOLDER",422,637.34
"21817","GLITTER CHRISTMAS TREE",1687,1077.19
"21818","GLITTER CHRISTMAS HEART ",1727,1460.86
"21818","GLITTER HEART DECORATION",2469,1088.59
"21819","GLITTER CHRISTMAS STAR ",3847,2247.14
"21820","GLITTER HEART GARLAND WITH BELLS ",795,3132.39
"21821","GLITTER STAR GARLAND WITH BELLS ",713,2866.60
"21822","GLITTER CHRISTMAS TREE WITH BELLS",1010,1343.70
"21823","PAINTED METAL HEART WITH HOLLY BELL",2468,2447.72
"21824","PAINTED METAL STAR WITH HOLLY BELLS",2782,2351.46
"21825","PAINTED METAL TREE WITH HOLLY BELLS",733,1053.19
"21826","EIGHT PIECE DINOSAUR SET",1800,2326.87
"21827","EIGHT PIECE CREEPY CRAWLIE SET",835,1068.89
"21828","EIGHT PIECE SNAKE  SET",1105,1396.62
"21829","DINOSAUR KEYRINGS ASSORTED",15035,3242.18
"21830","ASSORTED CREEPY CRAWLIES",7658,3185.60
"21832","CHOCOLATE CALCULATOR",3338,5836.76
"21833","CAMOUFLAGE LED TORCH",6239,10681.67
"21836","GINGHAM OVEN GLOVE RED HEART ",249,1003.89
"21837","CROSS STITCH ALPHABET CUSHION COVER",244,1622.64
"21838","DADDY MOUSE RED GINGHAM BOW TIE",1,5.45
"21839","MUMMY MOUSE RED GINGHAM RIBBON",201,1085.59
"21841","BABY MOUSE RED GINGHAM DRESS",437,1857.47
"21842","PINK HEART CANDY BUTTON CALCULATOR",551,1308.74
"21843","RED RETROSPOT CAKE STAND",4635,48564.29
"21843","RETRO SPOT CAKE STAND",1493,16354.01
"21844","RED RETROSPOT MUG",3893,10986.43
"21844","RETRO SPOT MUG",1481,4343.01
"21845","DAIRY MAID STRIPE MUG",2521,3758.41
"21846","PINK DIAMANTE PEN IN GIFT BOX",1601,3803.40
"21847","GREEN  DIAMANTE PEN IN GIFT BOX",347,675.37
"21849","SILVER DIAMANTE PEN IN GIFT BOX",633,1483.51
"21850","BLUE  DIAMANTE PEN IN GIFT BOX",447,1072.98
"21851","LILAC DIAMANTE PEN IN GIFT BOX",628,1473.56
"21852","EMPIRE TEDDY",2,13.90
"21853","GUMBALL CUSTOM CARS TOP TRUMPS GAME",3,15.40
"21854","EURO FOOTBALL STARS TOP TRUMPS GAME",1,5.17
"21857","STAR WARS TOP TRUMPS GAME",2,10.23
"21858","HIGH SCHOOL MUSICAL 3 TOP TRUMPS ",2,10.23
"21860","DR WHO TOP TRUMPS GAME",1,5.17
"21864","UNION JACK FLAG PASSPORT COVER ",1853,4431.54
"21865","PINK UNION JACK  PASSPORT COVER ",896,2085.64
"21866","UNION JACK FLAG LUGGAGE TAG",2168,3591.50
"21867","PINK UNION JACK  LUGGAGE TAG",1144,1562.87
"21868","POTTING SHED TEA MUG",9075,11163.64
"21869","POTTING SHED COFFEE MUG",1264,1469.58
"21870","I CAN ONLY PLEASE ONE PERSON MUG",6083,7627.49
"21871","SAVE THE PLANET MUG",11492,13654.89
"21872","GLAMOROUS  MUG",5092,5163.80
"21873","IF YOU CAN'T STAND THE HEAT MUG",2010,2360.01
"21874","GIN AND TONIC MUG",6332,8209.17
"21875","KINGS CHOICE MUG",6818,7882.08
"21876","POTTERING MUG",5663,7351.25
"21877","HOME SWEET HOME MUG",14054,15954.75
"21878","PACK OF 6 SANDCASTLE FLAGS ASSORTED",5586,4586.48
"21879","HEARTS GIFT TAPE",1567,664.84
"21880","RED AND WHITE SPOT TAPE",483,360.93
"21880","RED RETROSPOT TAPE",2000,928.90
"21881","CUTE CATS TAPE",1332,554.95
"21882","SKULLS TAPE",1052,499.44
"21883","STARS GIFT TAPE ",2348,1199.48
"21884","CAKES AND BOWS GIFT  TAPE",1448,663.61
"21888","BINGO SET",3520,13862.17
"21889","WOODEN BOX OF DOMINOES",12805,17095.66
"21890","S/6 WOODEN SKITTLES IN COTTON BAG",3489,10451.60
"21891","TRADITIONAL WOODEN SKIPPING ROPE",12142,15547.75
"21892","TRADITIONAL WOODEN CATCH CUP GAME ",7826,10151.28
"21893","POTTING SHED SEED TIN",172,587.80
"21894","POTTING SHED SEED ENVELOPES",1320,1836.14
"21895","POTTING SHED SOW 'N' GROW SET",555,1718.63
"21896","POTTING SHED TWINE",2387,4944.04
"21897","POTTING SHED CANDLE CITRONELLA",866,2641.36
"21898","POTTING SHED ROSE CANDLE",827,2538.81
"21899","GARAGE KEY FOB",777,565.81
"21899","KEY FOB , GARAGE DESIGN",5899,3756.66
"21900","KEY FOB , SHED",8323,5529.14
"21901","KEY FOB , BACK DOOR ",6158,4061.51
"21902","KEY FOB , FRONT  DOOR ",5359,3408.03
"21903","MAN FLU METAL SIGN",3436,6908.87
"21904","HOUSE WRECKING METAL SIGN ",757,1201.52
"21905","MORE BUTTER METAL SIGN ",1615,2141.07
"21906","PHARMACIE FIRST AID TIN",1786,12879.46
"21907","I'M ON HOLIDAY METAL SIGN",5163,10866.22
"21908","CHOCOLATE THIS WAY METAL SIGN",9678,19125.98
"21910","WAY OUT METAL SIGN ",1066,1398.18
"21911","GARDEN METAL SIGN ",2546,4080.85
"21912","VINTAGE SNAKES & LADDERS",3734,14651.33
"21913","VINTAGE SEASIDE JIGSAW PUZZLES",1129,4302.48
"21914","BLUE HARMONICA IN BOX ",12957,17725.36
"21915","RED  HARMONICA IN BOX ",36289,42664.54
"21916","SET 12 RETRO WHITE CHALK STICKS",11011,4751.06
"21917","SET 12 KIDS  WHITE CHALK STICKS",8010,3324.22
"21918","SET 12 KIDS COLOUR  CHALK STICKS",14598,6013.14
"21919","Electronic Talking Breath-A-Loser",6,30.47
"21922","UNION STRIPE WITH FRINGE  HAMMOCK",1443,11199.18
"21923","RED/CREAM STRIPE FRINGE HAMMOCK",337,2662.64
"21924","BLUE/CREAM STRIPE FRINGE HAMMOCK",315,2486.66
"21925","UNION STRIPE CUSHION COVER ",1201,1562.33
"21926","RED/CREAM STRIPE CUSHION COVER ",1009,1325.27
"21927","BLUE/CREAM STRIPE CUSHION COVER ",1260,1728.24
"21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",8411,17239.69
"21928","JUMBO BAG SCANDINAVIAN PAISLEY",15857,28962.83
"21929","JUMBO BAG PINK VINTAGE PAISLEY",25608,49651.99
"21930","JUMBO STORAGE BAG SKULLS",13390,27368.08
"21931","JUMBO STORAGE BAG SUKI",29182,61537.55
"21932","SCANDINAVIAN PAISLEY PICNIC BAG",3871,8498.61
"21933","PINK VINTAGE PAISLEY PICNIC BAG",4116,9087.63
"21934","SKULL SHOULDER BAG",4597,8275.22
"21935","SUKI  SHOULDER BAG",7127,13103.21
"21936","RED RETROSPOT PICNIC BAG",6680,19576.72
"21936","RED/WHITE SPOT PICNIC BAG",1125,3164.59
"21937","STRAWBERRY   PICNIC BAG",4100,12038.82
"21942","SKULLS DESIGN FLANNEL",1672,1136.28
"21943","CAKES AND RABBITS DESIGN FLANNEL ",591,529.16
"21944","KITTENS DESIGN FLANNEL",1789,1106.01
"21945","STRAWBERRIES  DESIGN FLANNEL ",1862,1307.10
"21946","PARTY TIME DESIGN FLANNEL",625,358.97
"21947","SET OF 6 HEART CHOPSTICKS",1675,2302.81
"21948","SET OF 6 CAKE CHOPSTICKS",2293,2921.36
"21949","SET OF 6 STRAWBERRY CHOPSTICKS",2598,3164.18
"21950","SET OF 6 DOTS CHOPSTICKS",211,263.63
"21955","  DOORMAT UNION JACK GUNS AND ROSES",177,1193.31
"21955","DOOR MAT UNION JACK GUNS AND ROSES",797,5510.39
"21955","DOORMAT UNION JACK GUNS AND ROSES",2172,13043.59
"21955","UNION JACK GUNS & ROSES  DOORMAT",765,3987.11
"21967","PACK OF 12 SKULL TISSUES",15652,4401.44
"21972","SET OF 36 DINOSAUR PAPER DOILIES",1055,1560.82
"21973","SET OF 36 MUSHROOM PAPER DOILIES",1670,2420.03
"21974","SET OF 36 PAISLEY FLOWER DOILIES",7046,10622.15
"21975","PACK OF 60 DINOSAUR CAKE CASES",31332,15236.62
"21976","PACK OF 60 MUSHROOM CAKE CASES",14570,7792.37
"21977","PACK OF 60 PINK PAISLEY CAKE CASES",56061,28081.73
"21980","PACK OF 12 RED RETROSPOT TISSUES ",8616,2668.33
"21980","PACK OF 12 RED SPOTTY TISSUES ",22721,5981.81
"21981","PACK OF 12 WOODLAND TISSUES ",26204,7129.46
"21982","PACK OF 12 SUKI TISSUES ",32086,10395.88
"21983","PACK OF 12 BLUE PAISLEY TISSUES ",6118,1875.02
"21984","PACK OF 12 PINK PAISLEY TISSUES ",25351,7023.95
"21985","PACK OF 12 HEARTS DESIGN TISSUES ",25523,8972.11
"21986","PACK OF 12 PINK POLKADOT TISSUES",5159,1591.94
"21986","PACK OF 12 PINK SPOT TISSUES ",8317,3194.19
"21987","PACK OF 6 SKULL PAPER CUPS",6417,3988.06
"21988","PACK OF 6 SKULL PAPER PLATES",7829,5820.10
"21989","PACK OF 20 SKULL PAPER NAPKINS",8552,6790.70
"21990","MODERN FLORAL STATIONERY SET",2453,4530.54
"21991","BOHEMIAN COLLAGE STATIONERY SET",1103,1927.54
"21992","VINTAGE PAISLEY STATIONERY SET",3320,6744.80
"21993","FLORAL FOLK STATIONERY SET",2849,5216.88
"22016","Dotcomgiftshop Gift Voucher £100.00",1,83.33
"22021","BLUE FELT EASTER EGG BASKET",1413,2430.31
"22023","EMPIRE BIRTHDAY CARD",4975,2076.77
"22024","RAINY LADIES BIRTHDAY CARD",5391,2257.00
"22025","RING OF ROSES BIRTHDAY CARD",3970,1641.64
"22026","BANQUET BIRTHDAY  CARD  ",4029,1717.47
"22027","TEA PARTY BIRTHDAY CARD",11297,4806.49
"22028","PENNY FARTHING BIRTHDAY CARD",6344,2665.13
"22029","SPACE BOY BIRTHDAY CARD",823,349.12
"22029","SPACEBOY BIRTHDAY CARD",16779,6931.64
"22030","SWALLOWS GREETING CARD",12735,5197.84
"22031","BOTANICAL LAVENDER BIRTHDAY CARD",1125,493.99
"22032","BOTANICAL LILY GREETING CARD",980,418.12
"22033","BOTANICAL ROSE GREETING CARD",1603,681.93
"22034","ROBIN CHRISTMAS CARD",1617,673.49
"22035","VINTAGE CARAVAN GREETING CARD ",4083,1731.24
"22036","DINOSAUR BIRTHDAY CARD",1649,695.11
"22037","ROBOT BIRTHDAY CARD",7054,3035.70
"22038","BOTANICAL LAVENDER GIFT WRAP ",1150,481.00
"22039","BOTANICAL LILY GIFT WRAP",850,353.00
"22040","BOTANICAL ROSE GIFT WRAP",2815,1144.30
"22041","RECORD FRAME 7"" SINGLE SIZE ",7540,18650.87
"22042","CHRISTMAS CARD SINGING ANGEL",1738,627.19
"22043","CHRISTMAS CARD SCREEN PRINT ",2197,619.25
"22044","CHRISTMAS CARD STACK OF PRESENTS",1940,550.28
"22045","SPACE BOY GIFT WRAP",775,325.50
"22045","SPACEBOY GIFT WRAP",13767,5656.14
"22046","TEA PARTY  WRAPPING PAPER ",6375,2613.50
"22047","EMPIRE GIFT WRAP",8250,3351.00
"22048","BIRTHDAY BANQUET GIFT WRAP",2815,1166.30
"22049","WRAP CHRISTMAS SCREEN PRINT",3500,1015.75
"22050","PINK PAISLEY ROSE GIFT WRAP",3300,1354.00
"22051","BLUE SCANDINAVIAN PAISLEY WRAP",3175,1317.50
"22052","VINTAGE CARAVAN GIFT WRAP",3525,1460.50
"22053","EMPIRE DESIGN ROSETTE",4551,4020.89
"22054","MINI CAKE STAND HANGING HEARTS",361,655.01
"22055","MINI CAKE STAND  HANGING STRAWBERY",4925,8179.19
"22056","CERAMIC PLATE LOVE HEART DESIGN",607,656.87
"22057","CERAMIC PLATE STRAWBERRY DESIGN",3060,4011.73
"22058","CERAMIC LOVE HEARTS DESIGN MUG",520,795.72
"22059","CERAMIC STRAWBERRY DESIGN MUG",2593,3245.93
"22059","CERAMIC STRWBERRY DESIGN MUG",2347,3393.10
"22060","LARGE CAKE STAND HANGING HEARTS",733,5691.41
"22061","LARGE CAKE STAND  HANGING STRAWBERY",2171,19121.37
"22062","CERAMIC BOWL WITH LOVE HEART DESIGN",761,1248.15
"22063","CERAMIC BOWL WITH STRAWBERRY DESIGN",2303,6356.06
"22064","PINK DOUGHNUT TRINKET POT ",6606,10592.66
"22065","CHRISTMAS PUDDING TRINKET POT ",8640,6273.84
"22066","LOVE HEART TRINKET POT",3435,2729.16
"22067","CHOC TRUFFLE GOLD TRINKET POT ",1855,3019.32
"22068"," BLACK PIRATE TREASURE CHEST",55,108.48
"22068","BLACK PIRATE TREASURE CHEST",1057,1871.34
"22069"," BROWN  PIRATE TREASURE CHEST ",59,138.22
"22069","BROWN  PIRATE TREASURE CHEST ",909,2026.41
"22070","SMALL RED RETROSPOT MUG IN BOX ",1511,4462.95
"22070","SMALL RETRO SPOT MUG IN BOX  RED",324,1238.54
"22071","SMALL RETRO SPOT MUG IN BOX  WHITE",383,1426.13
"22071","SMALL WHITE RETROSPOT MUG IN BOX ",1147,2929.75
"22072","RED RETROSPOT TEA CUP AND SAUCER ",1705,6364.67
"22072","TEA CUP AND SAUCER RETRO SPOT",700,2866.34
"22073","RED RETROSPOT STORAGE JAR",1395,5604.60
"22073","RETRO SPOT STORAGE JAR",729,2853.29
"22074","6 RIBBONS SHIMMERING PINKS ",2156,2216.34
"22075","6 RIBBONS ELEGANT CHRISTMAS ",3079,4660.69
"22076","6 RIBBONS EMPIRE  ",2353,3490.19
"22077","6 RIBBONS RUSTIC CHARM",17238,31513.11
"22078","RIBBON REEL LACE DESIGN ",3984,8449.94
"22079","RIBBON REEL HEARTS DESIGN ",5028,8457.84
"22080","RIBBON REEL POLKADOTS ",1676,2843.86
"22080","RIBBON REEL SPOTS DESIGN ",2211,3668.58
"22081","RIBBON REEL FLORA + FAUNA ",1559,2761.04
"22082","RIBBON REEL STRIPES DESIGN ",7267,12192.05
"22083","PAPER CHAIN KIT RETRO SPOT",7579,21151.79
"22083","PAPER CHAIN KIT RETROSPOT",6137,19261.03
